x_axis,desired_pos,actual_pos,error,actual_vel,commanded_torque
1.510000000000000000e+02,4.156200000000000172e-02,-2.874659999999999802e-03,4.443666000000000282e-02,-1.973749999999999949e-01,1.052630000000000088e+01
1.520000000000000000e+02,4.210850000000000010e-02,-3.356519999999999990e-03,4.546502000000000182e-02,-9.637259999999999716e-01,1.052630000000000088e+01
1.530000000000000000e+02,4.267850000000000116e-02,-3.455670000000000096e-03,4.613417000000000212e-02,-1.983010000000000050e-01,1.052630000000000088e+01
1.540000000000000000e+02,4.322320000000000328e-02,-3.171989999999999966e-03,4.639519000000000282e-02,5.673669999999999547e-01,1.052630000000000088e+01
1.550000000000000000e+02,4.379450000000000010e-02,-2.505359999999999879e-03,4.629985999999999824e-02,1.333259999999999890e+00,-1.052630000000000088e+01
1.560000000000000000e+02,4.433419999999999722e-02,-1.456070000000000064e-03,4.579026999999999403e-02,2.098580000000000112e+00,-1.052630000000000088e+01
1.570000000000000000e+02,4.490260000000000085e-02,-2.442429999999999924e-05,4.492702429999999997e-02,2.863280000000000047e+00,-1.052630000000000088e+01
1.580000000000000000e+02,4.544150000000000272e-02,1.023650000000000081e-03,4.441785000000000178e-02,2.096150000000000180e+00,-1.052630000000000088e+01
1.590000000000000000e+02,4.600789999999999741e-02,1.688049999999999967e-03,4.431984999999999397e-02,1.328799999999999981e+00,-1.052630000000000088e+01
1.600000000000000000e+02,4.654400000000000204e-02,1.968670000000000055e-03,4.457533000000000328e-02,5.612439999999999651e-01,1.052630000000000088e+01
1.610000000000000000e+02,4.710849999999999760e-02,1.865820000000000022e-03,4.524268000000000040e-02,-2.057130000000000070e-01,1.052630000000000088e+01
1.620000000000000000e+02,4.764270000000000310e-02,1.379790000000000096e-03,4.626291000000000431e-02,-9.720429999999999904e-01,1.052630000000000088e+01
1.630000000000000000e+02,4.820630000000000054e-02,1.276540000000000053e-03,4.692976000000000092e-02,-2.065039999999999931e-01,1.052630000000000088e+01
1.640000000000000000e+02,4.873859999999999998e-02,1.556180000000000107e-03,4.718242000000000269e-02,5.592770000000000241e-01,1.052630000000000088e+01
1.650000000000000000e+02,4.929909999999999848e-02,2.218819999999999820e-03,4.708028000000000213e-02,1.325280000000000014e+00,-9.767870000000000275e+00
1.660000000000000000e+02,4.983159999999999673e-02,3.264169999999999832e-03,4.656742999999999993e-02,2.090700000000000003e+00,-1.052630000000000088e+01
1.670000000000000000e+02,5.041919999999999735e-02,4.691919999999999598e-03,4.572727999999999515e-02,2.855490000000000084e+00,-1.052630000000000088e+01
1.680000000000000000e+02,5.091969999999999830e-02,5.746730000000000241e-03,4.517296999999999979e-02,2.109620000000000051e+00,-1.052630000000000088e+01
1.690000000000000000e+02,5.150409999999999711e-02,6.417860000000000058e-03,4.508623999999999965e-02,1.342270000000000074e+00,-1.052630000000000088e+01
1.700000000000000000e+02,5.200169999999999793e-02,6.705219999999999583e-03,4.529648000000000008e-02,5.747109999999999719e-01,1.052630000000000088e+01
1.710000000000000000e+02,5.255510000000000043e-02,6.609079999999999816e-03,4.594602000000000408e-02,-1.922780000000000045e-01,1.052630000000000088e+01
1.720000000000000000e+02,5.308070000000000149e-02,6.129759999999999723e-03,4.695094000000000350e-02,-9.586419999999999941e-01,1.052630000000000088e+01
1.730000000000000000e+02,5.363099999999999812e-02,6.033209999999999788e-03,4.759779000000000093e-02,-1.930999999999999939e-01,1.052630000000000088e+01
1.740000000000000000e+02,5.415670000000000206e-02,6.319550000000000167e-03,4.783715000000000189e-02,5.726809999999999956e-01,1.052630000000000088e+01
